ld,paper,chamber,number,date,motion,outcome,yeas,nays,absent,excused,vacant,yeas_required,url
1822,HP1220,House,729,2026-04-02,RECONSIDER,FAILS,70,78,2,0,1,75,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098884&chamber=House&serialnumber=729
1822,HP1220,House,800,2026-04-09,RECEDE AND CONCUR,FAILS,70,79,1,0,1,75,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098884&chamber=House&serialnumber=800
1823,SP0710,Senate,421,2025-06-09,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,19,15,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098879&chamber=Senate&serialnumber=421
1838,SP0721,Senate,534,2025-06-13,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,19,16,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098939&chamber=Senate&serialnumber=534
1840,SP0723,Senate,535,2025-06-13,ACCEPT OUGHT TO PASS AS AMENDED REPORT,PREVAILS,24,8,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098941&chamber=Senate&serialnumber=535
1847,HP1231,Senate,951,2026-04-13,ACCEPT REPORT 'B' OUGHT TO PASS AS AMENDED,PREVAILS,20,15,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098963&chamber=Senate&serialnumber=951
1847,HP1231,House,809,2026-04-13,REPORT A OTP-AM BY CA-A,FAILS,43,102,5,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098963&chamber=House&serialnumber=809
1847,HP1231,House,810,2026-04-13,ACC REPORT C OTP-AM BY CA-C,FAILS,71,74,5,0,1,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098963&chamber=House&serialnumber=810
1849,HP1233,Senate,615,2025-06-17,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,20,15,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098965&chamber=Senate&serialnumber=615
1849,HP1233,House,562,2025-06-17,ACC MAJ OTP AS AMENDED REP,PREVAILS,76,71,2,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098965&chamber=House&serialnumber=562
1853,HP1237,Senate,591,2025-06-16,ACCEPT MAJORITY OUGHT NOT TO PASS REPORT,PREVAILS,19,15,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098955&chamber=Senate&serialnumber=591
1853,HP1237,House,529,2025-06-16,ACC MAJ OUGHT NOT TO PASS REP,PREVAILS,77,71,1,2,0,75,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098955&chamber=House&serialnumber=529
1858,SP0728,House,365,2025-06-09,ACC MAJ OTP AS AMENDED REP,PREVAILS,126,21,2,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098969&chamber=House&serialnumber=365
1859,SP0729,House,335,2025-06-05,ACC MAJ OTP AS AMENDED REP,PREVAILS,73,69,7,2,0,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098970&chamber=House&serialnumber=335
1865,SP0735,Senate,845,2026-04-02,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,21,12,0,2,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098977&chamber=Senate&serialnumber=845
1865,SP0735,Senate,896,2026-04-07,RECEDE AND CONCUR,FAILS,13,18,0,4,0,16,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098977&chamber=Senate&serialnumber=896
1865,SP0735,House,731,2026-04-06,ACC MAJ OTP AS AMENDED REP,FAILS,43,100,7,0,1,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098977&chamber=House&serialnumber=731
1867,SP0737,Senate,491,2025-06-12,ACCEPT MINORITY OUGHT NOT TO PASS REPORT,FAILS,16,19,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098979&chamber=Senate&serialnumber=491
1867,SP0737,Senate,492,2025-06-12,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,20,15,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098979&chamber=Senate&serialnumber=492
1867,SP0737,House,560,2025-06-17,ACC MAJ OTP AS AMENDED REP,PREVAILS,75,72,2,2,0,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098979&chamber=House&serialnumber=560
1868,SP0738,Senate,533,2025-06-13,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,19,16,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098980&chamber=Senate&serialnumber=533
1868,SP0738,Senate,598,2025-06-17,COMMIT,FAILS,17,17,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098980&chamber=Senate&serialnumber=598
1868,SP0738,Senate,610,2025-06-17,ENACTMENT,PREVAILS,20,15,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098980&chamber=Senate&serialnumber=610
1868,SP0738,Senate,612,2025-06-17,ENACTMENT,PREVAILS,19,16,0,0,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098980&chamber=Senate&serialnumber=612
1868,SP0738,House,500,2025-06-13,ACC MAJ OTP AS AMENDED REP,PREVAILS,74,68,7,2,0,72,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098980&chamber=House&serialnumber=500
1868,SP0738,House,515,2025-06-16,Enactment,PREVAILS,77,68,4,2,0,73,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280098980&chamber=House&serialnumber=515
1870,SP0740,Senate,828,2026-03-30,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,19,13,0,3,0,17,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280099027&chamber=Senate&serialnumber=828
1870,SP0740,House,708,2026-03-31,ACC MAJ OTP AS AMENDED REP,PREVAILS,75,72,3,0,1,74,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280099027&chamber=House&serialnumber=708
1871,SP0741,Senate,560,2025-06-16,ACCEPT MAJORITY OUGHT TO PASS AS AMENDED REPORT,PREVAILS,22,12,0,1,0,18,https://legislature.maine.gov/LawMakerWeb/rollcall.asp?ID=280099008&chamber=Senate&serialnumber=560
